Key	Speaker	English	French	Italien		English rework ?	
SUPERGOODJOE_DIALOG_001	<sketchy>Sonki	Damn... is it heaven ?	Mais nan... C'est donc ça le paradis ?				
SUPERGOODJOE_DIALOG_002	<sketchy>Super Good Joe	Sup dude.	Yo mec.				
SUPERGOODJOE_DIALOG_003	<sketchy>Sonki	Holy smokes! the Sun!	Oh la vache ! Le soleil !				
SUPERGOODJOE_DIALOG_004	<sketchy>Super Good Joe	Relax dude.	Détend toi.				
SUPERGOODJOE_DIALOG_005	<sketchy>Sonki	Sry.	Déso.				
SUPERGOODJOE_DIALOG_006	<sketchy>Super Good Joe	I'm Super good joe but my friends call me Joe.	Moi c'est Super Good Joe mais mes potes m'appellent Joe.				
SUPERGOODJOE_DIALOG_007	<sketchy>Sonki	I need your help with something Joe.	J'ai besoin de ton aide Joe.				
SUPERGOODJOE_DIALOG_008	<sketchy>Super Good Joe	Call me Super Good Joe.	Non pour toi c'est Super God Joe.				
SUPERGOODJOE_DIALOG_009	<sketchy>Sonki	Ha I thought... nvm.	Ah je croyais que... nan oublie...				
SUPERGOODJOE_DIALOG_010	<sketchy>Sonki	I'm kind of in a pickle right now and I need your help pls.	J'suis un peu dans le pétrin là et j'ai besoin de ton aide stp.				
SUPERGOODJOE_DIALOG_011	<sketchy>Super Good Joe	Sure, what do you need ?	D'accord, il te faut quoi ?				
SUPERGOODJOE_DIALOG_012	<sketchy>Sonki	You think ou could transform me back into a human ?	Tu penses que tu pourrais me rendre ma forme humaine ?				
SUPERGOODJOE_DIALOG_013	<sketchy>Super Good Joe	Sure.	Ouais.				
SUPERGOODJOE_DIALOG_014	<sketchy>Sonki	Really ?	Sérieux ?				
SUPERGOODJOE_DIALOG_015	<sketchy>Super Good Joe	Yeah, I you bring me back my Johnnies.	Ouais, si tu me ramène mes Johnnies.				
SUPERGOODJOE_DIALOG_016	<sketchy>Sonki	Always a catch huh ?	Y'a toujours un hic hein ?				
SUPERGOODJOE_DIALOG_017	<sketchy>Super Good Joe	I mean what did you expect ? there still a whole game to play bozo	Bah tu t'attendais à quoi ? T'as encore tout un jeu à découvrir mon coco				
SUPERGOODJOE_DIALOG_018	<sketchy>Sonki	Fine, and how many of those do I need to bring back ?	Bon ok, et j'dois t'en ramener combien ?				
SUPERGOODJOE_DIALOG_019	<sketchy>Super Good Joe	Let's say 20 and your wish comes true.	Disons 20 et ton rêve est exaucé.				
SUPERGOODJOE_DIALOG_020	<sketchy>Sonki	Right on! I'll get to it!	Reçu 5 sur 5 ! J'y fonce !				
SUPERGOODJOE_DIALOG_021	<sketchy>Super Good Joe	Sure just be careful on the way down.	Cool fais juste gaffe en descendant.				
SUPERGOODJOE_DIALOG_022	<sketchy>Sonki	What do you mean ?	Comment ça ?				
SUPERGOODJOE_DIALOG_023	<sketchy>Super Good Joe	You'll see. See you champ.	Tu verras. À plus champion.				
							
SUPERGOODJOE_DIALOG_024	<sketchy>Super Good Joe	20 Johnnies and I'll change you back.	20 Johnnies et ciao la malédiction.				
							
SUPERGOODJOE_DIALOG_025	<sketchy>Super Good Joe	Congrats! You Did it 20 Johnnies!	Bravo! Tu as trouver les 20 Johnnies!				
SUPERGOODJOE_DIALOG_026	<sketchy>Super Good Joe	Thanks for playing!	Merci d'avoir joué!				
SUPERGOODJOE_DIALOG_027	<sketchy>Super Good Joe	Well ngl, acual ending will be available in final release.	Bon je vais pas te mentir, la vrai ending sera dispo dans la version final du jeu;				
SUPERGOODJOE_DIALOG_028	<sketchy>Super Good Joe	But if you didn't already, there are a total of 38 Johnnies to be found still, good luck!	En attendant, je t'invites a trouver les aure Johnnies. Il y en a 38 au total! Bon courage!				
							
SUPERGOODJOE_DIALOG_029	<sketchy>Super Good Joe	Well you've done it now!	Alors la chapeau!				
SUPERGOODJOE_DIALOG_030	<sketchy>Super Good Joe	You found all 38 Johnnies! Congratulation, Hope you liked th game so far! 	Tu as trouvé tout les 38 Johnnies! Félicitations, j'esperes que tu as kiff!				
SUPERGOODJOE_DIALOG_031	<sketchy>Super Good Joe	Hope to see you again on full release!	On se revoit pour la full release!				
							
SHORES							
SHORES_TRIBOULI01_001_DIALOG	<sketchy>Tribouli	Hey man you alright ?	Hé mon gars ça va ?				
SHORES_TRIBOULI01_002_DIALOG	<sketchy>Sonki	Yeah why ?	Ouais pourquoi ?				
SHORES_TRIBOULI01_003_DIALOG	<sketchy>Tribouli	I mean, you just fell from the sky, you sure you're alright ?	Bah tu viens de faire une sacré chute, t'es sûr que ça roule ?				
SHORES_TRIBOULI01_004_DIALOG	<sketchy>Sonki	Yeah don't worry about it.	Ouais t'inquiète.				
SHORES_TRIBOULI01_005_DIALOG	<sketchy>Sonki	Say do you know your way around ?	D'ailleurs tu connais le coin ?				
SHORES_TRIBOULI01_006_DIALOG	<sketchy>Tribouli	Yeah kinda.	Ouais vite fait.				
SHORES_TRIBOULI01_007_DIALOG	<sketchy>Sonki	Think you could guide me ?	Tu crois que tu pourrais me guider ?				
SHORES_TRIBOULI01_008_DIALOG	<sketchy>Tribouli	If I were you I'd go in the direction of the village to start and proceed from here. *wink*	Si j'étais toi j'irais vers le village et je verrais une fois là bas. *clin d'oeil*				
SHORES_TRIBOULI01_009_DIALOG	<sketchy>Sonki	Hum.. why the wink ?	Hum... Pourquoi le clin d'oeil ?				
SHORES_TRIBOULI01_010_DIALOG	<sketchy>Tribouli	Don't worry about it.	T'occupe.				
SHORES_TRIBOULI01_011_DIALOG	<sketchy>Sonki	Ok creep.	Ok génant.				
							
SHORES_TRIBOULI01_012_DIALOG	<sketchy>Sonki	Go check out the village if you haven't already *wink*	Va faire un tour au village si c'est pas déjà fait. *clin d'oeil*				
							
SHORES_JOVIAL_001_DIALOG	<sketchy>Sonki	What is this overhelming aura I feel !?	Mais d'où vient cette aura intense !?				
SHORES_JOVIAL_002_DIALOG	<sketchy>Sonki	Impossible!!	C'EST IMPOSSIBLE !!				
SHORES_JOVIAL_003_DIALOG	<sketchy>Sonki	JOVIAL MERRIMENT!	JOVIAL MERRIMENT !				
SHORES_JOVIAL_004_DIALOG	<sketchy>Jovial Merriment	...	...				
SHORES_JOVIAL_005_DIALOG	<sketchy>Jovial Merriment	You might doubt.	Tu pourrais en douter.				
SHORES_JOVIAL_006_DIALOG	<sketchy>Jovial Merriment	You might be angry about it.	Et même en devenir jaloux.				
SHORES_JOVIAL_007_DIALOG	<sketchy>Jovial Merriment	But I am number 1.	Mais le numéro 1, c'est moi.				
SHORES_JOVIAL_008_DIALOG	<sketchy>Jovial Merriment	And there's nothing you can do about it.	Et tu ne peux rien y faire.				
SHORES_JOVIAL_009_DIALOG	<sketchy>Sonki	Truly my goat.	Vraiment mon goat.				
							
SHORES_JOVIAL_010_DIALOG	<sketchy>Sonki	The best of the best!	La crème de la crème !				
							
							
							
TRIBOULI VILLAGE							
VILLAGE_MERCHANT_001_DIALOG	<sketchy>Merchant	Welcome customer!	Bienvenue cher client !				
VILLAGE_MERCHANT_002_DIALOG	<sketchy>Merchant	What might you be interested in ?	Dis moi, qu'est ce qui pourrait t'intéresser ?				
VILLAGE_MERCHANT_003_DIALOG	<sketchy>Sonki	Do you sell Johnnies, by any chance ?	Est ce que tu vends des Johnnies par hasard ?				
VILLAGE_MERCHANT_004_DIALOG	<sketchy>Merchant	As a matter of fact, I do but why would you be interested in that??	Figure toi que oui, j'en vend, mais à quoi ça pourrait bien te servir ??				
VILLAGE_MERCHANT_005_DIALOG	<sketchy>Merchant	It's been sitting on the shelf for year, no one give a damn about it.	J'en ai un qui prend la poussière sur mon étagère, personne n'en veut.				
VILLAGE_MERCHANT_006_DIALOG	<sketchy>Sonki	Welp, would be my pleasure to buy if from you, how much?	Et bien, je te l'achète avec grand plaisir, c'est combien ?				
VILLAGE_MERCHANT_007_DIALOG	<sketchy>Merchant	2000 clams	2000 clams.				
VILLAGE_MERCHANT_008_DIALOG	<sketchy>Sonki	EXCUSE ME !??	PARDON !??				
VILLAGE_MERCHANT_009_DIALOG	<sketchy>Merchant	You heard me.	T'as bien entendu.				
VILLAGE_MERCHANT_010_DIALOG	<sketchy>Sonki	Are you crazy !?	Ça va pas là tête !?				
VILLAGE_MERCHANT_011_DIALOG	<sketchy>Merchant	Don't blame me, supply and demands. That's the market.	Juste les lois du marché. L'offre et la demande ça te parle ?				
VILLAGE_MERCHANT_012_DIALOG		YOU ARE THE MARKET!	MAIS C'EST TOI LE MARCHÉ !!				
VILLAGE_MERCHANT_013_DIALOG	<sketchy>Merchant	Well that's the price, if you can't afford it cry about it. hihi	Ouais ben c'est la vie mon petit. Si tu peux pas payer va chouiner ailleurs. Hihi.				
VILLAGE_MERCHANT_014_DIALOG	<sketchy>Sonki	On Joe, be careful in the street.	Sur Joe, que j'te retrouve pas.				
							
VILLAGE_MERCHANT_015_DIALOG	<sketchy>Merchant	That's market prices sry.	C'est les prix du marché deso.				
							
VILLAGE_CHIEF_001_DIALOG	<sketchy>Tribouli Chief	Who is presenting itself to me?	Qui ose se présenter face à moi ?				
VILLAGE_CHIEF_002_DIALOG	<sketchy>Sonki	Oh great chief, it is but me Sonki an humble fish who would require your help.	Ô grand chef, c'est moi Sonki, un modeste poisson qui requiert ton aide.				
VILLAGE_CHIEF_003_DIALOG	<sketchy>Tribouli Chief	Dude chill, I'm not royalty or anything, just call me Chief.	Mec relax, j'suis pas de la monarchie ou quoi que ce soit, appelle moi juste chef.				
VILLAGE_CHIEF_004_DIALOG	<sketchy>Sonki	My bad Chief. but still I need your help.	Ah ok chef, bref j'ai quand même besoin de ton aide.				
VILLAGE_CHIEF_005_DIALOG	<sketchy>Sonki	Long story short, I've been transformed into a fish and I need to find a bunch of Johnnies to reverse the curse. Think you could help me?	Pour faire simple, on m'a transformé en poisson et j'ai besoin de trouver des Johnnies pour lever la malédiction. Tu penses que tu peux m'aider ?				
VILLAGE_CHIEF_006_DIALOG	<sketchy>Tribouli Chief	Perhaps... Johnnies are kind of hiding everywhere but there might be lot of them inside of the temple.	Peut-être bien… y'a des Johnnies cachés un peu partout mais pourrait y'en avoir pas mal dans le Temple.				
VILLAGE_CHIEF_007_DIALOG	<sketchy>Sonki	Great thanks, I'll go there!	Parfait merci, j'y fonce!				
VILLAGE_CHIEF_008_DIALOG	<sketchy>Tribouli Chief	Wait up, before you go you'll need a way to get to it.	Attends, pour t'y rendre il faut prendre un chemin spécial.				
VILLAGE_CHIEF_009_DIALOG	<sketchy>Sonki	Shouldn't be too hard right ? right ?	Ça devrait pas être si complexe que ça ? Non ?				
VILLAGE_CHIEF_010_DIALOG	<sketchy>Tribouli Chief	If you have the right tool it's easy to get to. I could give you an old pair of glasses.	Si t'as le bon outil c'est facile ouais. J'peux te filer ma vieille paire de lunettes.				
VILLAGE_CHIEF_011_DIALOG	<sketchy>Sonki	Ok ?	Ok ?				
VILLAGE_CHIEF_012_DIALOG	<sketchy>Tribouli Chief	With thoses, you'll be able to Double Jump and even do Target Jumps!	Avec elles, tu peux faire un double saut et même un saut ciblé !				
VILLAGE_CHIEF_013_DIALOG	<sketchy>Sonki	Ok ?	Ok ?				
VILLAGE_CHIEF_014_DIALOG	<sketchy>Tribouli Chief	I remember having a spare one laying around in the attic.	J'me rappelle les avoir laissées quelque part dans mon grenier.				
VILLAGE_CHIEF_015_DIALOG	<sketchy>Tribouli Chief	Thing is, I don't have a way to get to the attic from inside the house. You'll need to find one outside.	Le truc, c'est qu'on peut pas y accéder depuis l'intérieur de la maison. Faut passer par dehors.				
VILLAGE_CHIEF_016_DIALOG	<sketchy>Sonki	Ok ?	Ok ?				
VILLAGE_CHIEF_017_DIALOG	<sketchy>Tribouli Chief	Just get in the geyser behind the house and you'll find your way.	Prend juste le geyser derrière ma maison et tu comprendras.				
VILLAGE_CHIEF_018_DIALOG	<sketchy>Sonki	Ok thx Chief, I'm going now.	Ok merci chef, j'y vais du coup.				
							
VILLAGE_CHIEF_019_DIALOG	<sketchy>Sonki	Got those glasses yet ? Just try getting in through the chimney.	C'est bon t'as trouvé les lunettes ? T'as juste à passer par la cheminée.				
							
VILLAGE_JUSTICE_001_DIALOG	<sketchy>Justice	Heh... a fellow hero.	Heh… entre héros on se comprend.				
VILLAGE_JUSTICE_002_DIALOG	<sketchy>Sonki	excuse me ?	Pardon ?				
VILLAGE_JUSTICE_003_DIALOG	<sketchy>Justice	Nice pair of glasses you got there, you too are following the path of the spin.	Sympa les lunettes, je vois que tu suis la voie du tourbillon.				
VILLAGE_JUSTICE_004_DIALOG	<sketchy>Sonki	The what ?	La quoi ?				
VILLAGE_JUSTICE_005_DIALOG	<sketchy>Justice	The power to soar through the skies using the spin!	Le pouvoir te t'envoler vers les cieux grâce au tourbillon !				
VILLAGE_JUSTICE_006_DIALOG	<sketchy>Sonki	Ha yeah, those glasses sure are handy.	Ah ouais, c'est vrai que ces lunettes sont bien pratiques.				
VILLAGE_JUSTICE_007_DIALOG	<sketchy>Justice	Handy ? You don't get it. Those glasses are more than that. They give anyone the power and the will to go through ones limit!	Pratiques ? T'as rien capté. Ces lunettes sont bien plus que ça. Elles permettent au porteur de surpasser ses limites !!				
VILLAGE_JUSTICE_008_DIALOG	<sketchy>Justice	They are the pinnacle of style! A symbol of justice and rebellion!	C'est le summum du style ! Un symbole de justice et de rébellion !				
VILLAGE_JUSTICE_009_DIALOG	<sketchy>Sonki	Ha I see, you're just Gurren Laggan fan right ?	Ah je vois, t'es juste un fan de Gurren Laggan en fait.				
VILLAGE_JUSTICE_010_DIALOG	<sketchy>Justice	I mean, who isn't ?	Bah, comme tout le monde non ?				
VILLAGE_JUSTICE_011_DIALOG	<sketchy>Sonki	true, true.	C'est vrai c'est vrai.				
							
VILLAGE_JUSTICE_012_DIALOG	<sketchy>Justice	Spread the good word around the world my friend.	Transmet ton message au monde entier, mon pote.				
							
							
							
TEMPLE							
TEMPLE_EXPLORER01_001_DIALOG	<sketchy>Tribouli Explorer	Hello Fellow Explorer! You're seeking to get on top of the temple too ?	Bonjour, ami explorateur ! Tu cherches à gravir le temple ?				
TEMPLE_EXPLORER01_002_DIALOG	<sketchy>Sonki	Yeah kinda.	Ouais.				
TEMPLE_EXPLORER01_003_DIALOG	<sketchy>Tribouli Explorer	Great! The rest of my team is investigating the place, If you need any help just ask them!	Génial ! Le reste de mon équipe est en train d'étudier le lieu. Si t'as besoin d'aide, hésite pas à leur demander !				
TEMPLE_EXPLORER01_004_DIALOG	<sketchy>Sonki	Thanks, that's very kind of you.	Merci, très sympa de ta part.				
							
TEMPLE_EXPLORER01_005_DIALOG	<sketchy>Tribouli Explorer	If you need an help, ask my team mates!	Si t'as besoin d'aide, demande à mes collègues !				
							
TEMPLE_EXPLORER02_001_DIALOG	<sketchy>Tribouli Explorer	HEY CAREFUL!	HÉ FAIS GAFFE !				
TEMPLE_EXPLORER02_002_DIALOG	<sketchy>Sonki	!!!	!!!				
TEMPLE_EXPLORER02_003_DIALOG	<sketchy>Tribouli Explorer	Be careful around the temple! You might destroy invaluable pieces of the past!	Prends des précautions autour du temple ! Tu risques de détruire des vestiges historiques d'une valeur inestimable !				
TEMPLE_EXPLORER02_004_DIALOG	<sketchy>Sonki	Sry about that. Do you know anything about how to open the door?	Ah mince déso. Tu saurais pas comment entrer dans le temple par hasard ?				
TEMPLE_EXPLORER02_005_DIALOG	<sketchy>Tribouli Explorer	I suppose the gems on the doors are linked to the colored statues that are around the temple but it's just a theory.	J'pense que les gemmes au dessus de la porte sont liées aux différentes statues éparpillées autour du temple, mais c'est qu'une théorie.				
TEMPLE_EXPLORER02_006_DIALOG	<sketchy>Tribouli Explorer	HOWEVER, If I catch you toying with them, I'll be very VERY MAD!	J'TE PRÉVIENS, t'as pas intérêt à les abîmer, ou je vais être FURIEUX !				
TEMPLE_EXPLORER02_007_DIALOG	<sketchy>Sonki	*smirk* Yeah yeah don't worry.	*sourire en coin* Haha ouais t'inquiète.				
							
TEMPLE_EXPLORER02_008_DIALOG	<sketchy>Tribouli Explorer	I Dare you to touch the statue!	T'as pas intérêt à toucher aux statues !				
							
TEMPLE_EXPLORER03_001_DIALOG	<sketchy>Tribouli Explorer	What a fascinating device...	Quelle machine fascinante...				
TEMPLE_EXPLORER03_002_DIALOG	<sketchy>Sonki	Hello ?	Bonjour ?				
TEMPLE_EXPLORER03_003_DIALOG	<sketchy>Tribouli Explorer	WAAH! You scared me!	WAAH ! Tu m'as fait peur !				
TEMPLE_EXPLORER03_004_DIALOG	<sketchy>Sonki	yeah wathever, what are your looking at ?	ouais m'en fous, c'est quoi ce truc ?				
TEMPLE_EXPLORER03_005_DIALOG	<sketchy>Tribouli Explorer	This is and old gear from ancient times. It's used to generate electricity.	C'est un vieil outil datant d'une époque révolue. Il permettait de produire de l'électricité.				
TEMPLE_EXPLORER03_006_DIALOG	<sketchy>Sonki	Ok and to make it work ?	Ok et comment ça marche ?				
TEMPLE_EXPLORER03_007_DIALOG	<sketchy>Tribouli Explorer	It seem to react to spinning force.	Il semble réagir positivement à la force tourbillonnante.				
TEMPLE_EXPLORER03_008_DIALOG	<sketchy>Tribouli Explorer	I suppose it's also linked to those mettalic fences.	J'imagine qu'il doit aussi être lié à ces clôtures métalliques.				
TEMPLE_EXPLORER03_009_DIALOG	<sketchy>Tribouli Explorer	Or so I suppose.	Après c'est qu'mon avis.				
							
TEMPLE_EXPLORER03_010_DIALOG	<sketchy>Tribouli Explorer	Those old gears reacts to spin force, just try it out.	Cette vieille machine réagis à la force tourbillonnante, t'as qu'à essayer.				
							
TEMPLE_EXPLORER04_001_DIALOG	<sketchy>Tribouli Explorer	I'm so screwed, so screwed...	J'suis foutu, complètement foutu...				
TEMPLE_EXPLORER04_002_DIALOG	<sketchy>Sonki	You alright pal ?	Ça va mon gars ?				
TEMPLE_EXPLORER04_003_DIALOG	<sketchy>Tribouli Explorer	NO I'M NOT, I'M GONNA DIE HERE!	TU VOIS BIEN QUE NON, JE VAIS MOURIR ICI !				
TEMPLE_EXPLORER04_004_DIALOG	<sketchy>Sonki	WDYM ?	Bah comment ça ?				
TEMPLE_EXPLORER04_005_DIALOG	<sketchy>Tribouli Explorer	If I can't open this door, I'm done for!	Si j'arrive pas à ouvrir cette porte, j'suis fichu !				
TEMPLE_EXPLORER04_006_DIALOG	<sketchy>Sonki	Ha, don't worry I got you, just have to found statues and break them.	Aah, t'inquiète c'est facile, suffit de trouver des statues et de les casser.				
TEMPLE_EXPLORER04_007_DIALOG	<sketchy>Tribouli Explorer	WHAT ?! YOU BROKE STATUES TO ENTER ?!	HEIN ?! T'AS DÉTRUIT DES STATUES POUR ENTRER ?!				
TEMPLE_EXPLORER04_008_DIALOG	<sketchy>Sonki	bro	frérot				
							
TEMPLE_EXPLORER04_009_DIALOG	<sketchy>Tribouli Explorer	If leaving this temple means destroying invaluable heirlooms of the past... I prefer to stay here.	Si le prix à payer pour sortir de ce temple est de détruire des reliques inestimables du passé... Alors je préfère rester coincé ici.				
							
ALIEN FIELD							
ALIENFIELD_ALIENGATO_001_DIALOG	<sketchy>Sonki	No way!  ALIENS!	Mais nan ! UN ALIEN !				
ALIENFIELD_ALIENGATO_002_DIALOG	<sketchy>Alien Gato	Zblib Zblib bliblibzbli!	Zblib Zblib bliblizbli !				
ALIENFIELD_ALIENGATO_003_DIALOG	<sketchy>Sonki	No way! Alien lingo!	Jure ! Du jargon extraterrestre !				
ALIENFIELD_ALIENGATO_004_DIALOG	<sketchy>Alien Gato	Haha, just playing I speak english.	Haha, j'déconne je parle français.				
ALIENFIELD_ALIENGATO_005_DIALOG	<sketchy>Sonki	No way! Alien Humor!	Jure ! De l'humour extraterrestre !				
ALIENFIELD_ALIENGATO_006_DIALOG	<sketchy>Alien Gato	You can stop now.	Ok stop.				
ALIENFIELD_ALIENGATO_007_DIALOG	<sketchy>Sonki	My bad.	Déso.				
ALIENFIELD_ALIENGATO_008_DIALOG	<sketchy>Alien Gato	Anyway think you could lend me a hand ?	Au fait tu veux pas m'aider pour un truc ?				
ALIENFIELD_ALIENGATO_009_DIALOG	<sketchy>Sonki	Sure	Vas-y				
ALIENFIELD_ALIENGATO_010_DIALOG	<sketchy>Alien Gato	Cool, could you find and activate the 3 generator buttons ?	Cool, tu peux trouver et activer les 3 boutons du générateur ?				
ALIENFIELD_ALIENGATO_011_DIALOG	<sketchy>Alien Gato	They should be around here somewhere.	Ils devraient être quelque part dans le coin.				
ALIENFIELD_ALIENGATO_012_DIALOG	<sketchy>Sonki	I'll look into it.	J'vais regarder.				
							
ALIENFIELD_ALIENGATO_013_DIALOG	<sketchy>Alien Gato	Found the 3 button generators yet ?	Alors, t'as trouvé les 3 boutons du générateur ?				
